출판사,대출건수합계,평균대출건수,도서수
디오네,787,12.901639344262295,61
문원,785,8.626373626373626,91
오늘,784,6.87719298245614,114
모아북스,783,9.0,87
다산초당,782,14.754716981132075,53
효일,782,7.666666666666667,102
주류성,781,6.149606299212598,127
시간과공간사,781,15.938775510204081,49
빌리버튼,780,8.125,96
경당,780,18.13953488372093,43
비전비엔피·애플북스,779,16.229166666666668,48
로그인,778,17.288888888888888,45
황소자리 출판사,777,18.069767441860463,43
팩토리나인,774,8.795454545454545,88
삼화,774,9.0,86
이지앤북스,773,15.46,50
아르고나인,772,20.31578947368421,38
황금물고기,772,26.620689655172413,29
지훈출판사,771,20.289473684210527,38
아이비라인,771,27.535714285714285,28
ITC,770,13.75,56
사회평론아카데미,768,5.446808510638298,141
삼성당i,767,17.431818181818183,44
푸른행복,766,9.948051948051948,77
경향BP,763,12.932203389830509,59
범우,762,6.803571428571429,112
북플러스,761,22.38235294117647,34
밀알,761,7.686868686868687,99
시공사·시공아트,760,25.333333333333332,30
삼진기획,759,9.4875,80
시원스쿨닷컴,759,10.12,75
전남대학교출판부,759,4.43859649122807,171
Cypress(싸이프레스),759,13.31578947368421,57
범한서적,759,19.46153846153846,39
정토출판,758,17.627906976744185,43
리더스하우스,758,28.074074074074073,27
이코북,756,28.0,27
가야넷,755,17.15909090909091,44
라온아시아,755,8.48314606741573,89
지만지,754,7.54,100
철학과 현실사,752,3.632850241545894,207
산호와진주,751,16.68888888888889,45
세림,750,44.11764705882353,17
미디어숲,749,7.49,100
어드북스,748,11.507692307692308,65
행림출판사,748,32.52173913043478,23
빅피시,747,7.78125,96
능률영어사,746,46.625,16
한국심리치료연구소,746,12.229508196721312,61
지식공간,744,15.829787234042554,47
메가북스,743,21.852941176470587,34
화남,743,8.63953488372093,86
법문사,742,7.494949494949495,99
시사영어사,742,15.142857142857142,49
금토,742,16.488888888888887,45
노란돼지,741,10.897058823529411,68
청동거울,741,4.973154362416107,149
도도,740,15.74468085106383,47
고려의학,740,5.103448275862069,145
문지사,737,9.697368421052632,76
캔들미디어,737,11.887096774193548,62
MID(엠아이디),737,11.166666666666666,66
